Date,Open,High,Low,Close,Volume,Ticker
2024-10-01,262.6700134277344,263.9800109863281,248.52999877929688,258.0199890136719,87397600,TSLA
2024-10-02,247.5500030517578,251.16000366210938,241.5,249.02000427246094,93983900,TSLA
2024-10-03,244.47999572753906,249.7899932861328,237.80999755859375,240.66000366210938,80729200,TSLA
2024-10-04,246.69000244140625,250.9600067138672,244.5800018310547,250.0800018310547,86573200,TSLA
2024-10-07,249.0,249.8300018310547,240.6999969482422,240.8300018310547,68113300,TSLA
2024-10-08,243.55999755859375,246.2100067138672,240.55999755859375,244.5,56303200,TSLA
2024-10-09,243.82000732421875,247.42999267578125,239.50999450683594,241.0500030517578,66289500,TSLA
2024-10-10,241.80999755859375,242.7899932861328,232.33999633789062,238.77000427246094,83087100,TSLA
2024-10-11,220.1300048828125,223.33999633789062,214.3800048828125,217.8000030517578,142628900,TSLA
2024-10-14,220.1300048828125,221.91000366210938,213.74000549316406,219.16000366210938,86291900,TSLA
2024-10-15,220.00999450683594,224.25999450683594,217.1199951171875,219.57000732421875,62988800,TSLA
2024-10-16,221.39999389648438,222.82000732421875,218.92999267578125,221.3300018310547,49632800,TSLA
2024-10-17,221.58999633789062,222.0800018310547,217.89999389648438,220.88999938964844,50791800,TSLA
2024-10-18,220.7100067138672,222.27999877929688,219.22999572753906,220.6999969482422,49611900,TSLA
2024-10-21,218.89999389648438,220.47999572753906,215.72999572753906,218.85000610351562,47329000,TSLA
2024-10-22,217.30999755859375,218.22000122070312,215.25999450683594,217.97000122070312,43268700,TSLA
2024-10-23,217.1300048828125,218.72000122070312,212.11000061035156,213.64999389648438,80938900,TSLA
2024-10-24,244.67999267578125,262.1199951171875,242.64999389648438,260.4800109863281,204491900,TSLA
2024-10-25,256.010009765625,269.489990234375,255.32000732421875,269.19000244140625,161611900,TSLA
2024-10-28,270.0,273.5400085449219,262.239990234375,262.510009765625,107653600,TSLA
2024-10-29,264.510009765625,264.9800109863281,255.50999450683594,259.5199890136719,80521800,TSLA
2024-10-30,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,53993600,TSLA
2024-10-31,257.989990234375,259.75,249.25,249.85000610351562,66575300,TSLA
2024-11-01,252.0399932861328,254.0,246.6300048828125,248.97999572753906,57544800,TSLA
2024-11-04,244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,68802400,TSLA
2024-11-05,247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,69282500,TSLA
2024-11-06,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,165228700,TSLA
2024-11-07,288.8900146484375,299.75,285.5199890136719,296.9100036621094,117309200,TSLA
2024-11-08,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,204782800,TSLA
2024-11-11,346.29998779296875,358.6400146484375,336.0,350.0,210521600,TSLA
2024-11-12,342.739990234375,345.8399963378906,323.30999755859375,328.489990234375,155726000,TSLA
2024-11-13,335.8500061035156,344.6000061035156,322.5,330.239990234375,125405600,TSLA
2024-11-14,327.69000244140625,329.9800109863281,310.3699951171875,311.17999267578125,120726100,TSLA
2024-11-15,310.57000732421875,324.67999267578125,309.2200012207031,320.7200012207031,114440300,TSLA
2024-11-18,340.7300109863281,348.54998779296875,330.010009765625,338.739990234375,126085600,TSLA
2024-11-19,335.760009765625,347.3800048828125,332.75,346.0,88852500,TSLA
2024-11-20,345.0,346.6000061035156,334.29998779296875,342.0299987792969,66340700,TSLA
2024-11-21,343.80999755859375,347.989990234375,335.2799987792969,339.6400146484375,58011700,TSLA
2024-11-22,341.0899963378906,361.5299987792969,337.70001220703125,352.55999755859375,89140700,TSLA
2024-11-25,360.1400146484375,361.92999267578125,338.20001220703125,338.5899963378906,95890900,TSLA
2024-11-26,341.0,346.9599914550781,335.6600036621094,338.2300109863281,62295900,TSLA
2024-11-27,341.79998779296875,342.54998779296875,326.5899963378906,332.8900146484375,57896400,TSLA
2024-11-29,336.0799865722656,345.45001220703125,334.6499938964844,345.1600036621094,37167600,TSLA
2024-12-02,352.3800048828125,360.0,351.1499938964844,357.0899963378906,77986500,TSLA
2024-12-03,351.79998779296875,355.69000244140625,348.20001220703125,351.4200134277344,58267200,TSLA
2024-12-04,353.0,358.1000061035156,348.6000061035156,357.92999267578125,50810900,TSLA
2024-12-05,359.8699951171875,375.42999267578125,359.5,369.489990234375,81403600,TSLA
2024-12-06,377.4200134277344,389.489990234375,370.79998779296875,389.2200012207031,81455800,TSLA
2024-12-09,397.6099853515625,404.79998779296875,378.010009765625,389.7900085449219,96359200,TSLA
2024-12-10,392.67999267578125,409.7300109863281,390.8500061035156,400.989990234375,97563600,TSLA
2024-12-11,409.70001220703125,424.8800048828125,402.3800048828125,424.7699890136719,104287600,TSLA
